ImportSetNumber	LineNo	ItemID	UnitQuantity	UnitOfMeasure	UnitPrice	ExtendedDescription	SourceLocationID	ShipLocationID	ProductGroupID	SupplierID	SupplierName	RequiredDate	ExpediteDate	WillCall	TaxItem	OKtoInterchange	PricingUnit	CommissionCost	OtherCost	POCost	Disposition	Scheduled	ManualPriceOverride	CommissionCostEdited	OtherCostEdited	CaptureUsage	TagandHoldClassID	ContractBinID	ContractNo	AllocationQty	PromiseDate	RevisionLevel	ResolveItemContract	Sample	QuoteLineNo	QuoteComplete	ItemDescription	InvoiceNo	InvoiceLineNo
10002	0	54	1		0		0	0		0								0	0	0										0									
10002	0	7251	2		0		0	0		0								0	0	0										0									
10002	0	61	1		0		0	0		0								0	0	0										0									
10002	0	262	1		0		0	0		0								0	0	0										0									
10002	0	58	1		0		0	0		0								0	0	0										0									
10002	0	262	1		0		0	0		0								0	0	0										0									
10002	0	58	1		0		0	0		0								0	0	0										0									
10002	0	262	1		0		0	0		0								0	0	0										0									
10003	0	262	1		0		0	0		0								0	0	0										0									
10003	0	54	1		0		0	0		0								0	0	0										0									
10003	0	262	1		0		0	0		0								0	0	0										0									
10003	0	98	1		0		0	0		0								0	0	0										0									
10003	0	121	1		0		0	0		0								0	0	0										0									
10003	0	262	1		0		0	0		0								0	0	0										0									
10003	0	60	1		0		0	0		0								0	0	0										0									
10003	0	262	1		0		0	0		0								0	0	0										0									
10004	0	64	1		0		0	0		0								0	0	0										0									
10004	0	262	1		0		0	0		0								0	0	0										0									
10005	0	2	1		0		0	0		0								0	0	0										0									
10005	0	262	1		0		0	0		0								0	0	0										0									
10010	0	58	1		0		0	0		0								0	0	0										0									
10010	0	262	1		0		0	0		0								0	0	0										0									
10010	0	262	1		0		0	0		0								0	0	0										0									
10010	0	66	1		0		0	0		0								0	0	0										0									
10010	0	262	1		0		0	0		0								0	0	0										0									
10010	0	53	1		0		0	0		0								0	0	0										0									
10024	0	262	1		0		0	0		0								0	0	0										0									
10024	0	108	1		0		0	0		0								0	0	0										0									
10310	0	272	1		0		0	0		0								0	0	0										0									
10310	0	254	1		0		0	0		0								0	0	0										0									
10310	0	57	1		0		0	0		0								0	0	0										0									
10310	0	272	1		0		0	0		0								0	0	0										0									
10310	0	254	1		0		0	0		0								0	0	0										0									
10310	0	272	1		0		0	0		0								0	0	0										0									
10310	0	262	1		0		0	0		0								0	0	0										0									
10310	0	13	1		0		0	0		0								0	0	0										0									
10310	0	56	1		0		0	0		0								0	0	0										0									
10316	0	13	1		0		0	0		0								0	0	0										0									
10316	0	262	1		0		0	0		0								0	0	0										0									
10317	0	254	1		0		0	0		0								0	0	0										0									
10317	0	262	1		0		0	0		0								0	0	0										0									
10317	0	54	1		0		0	0		0								0	0	0										0									
10317	0	13	1		0		0	0		0								0	0	0										0									
10317	0	28322	1		0		0	0		0								0	0	0										0									
10317	0	2284	1		0		0	0		0								0	0	0										0									
10317	0	2110	1		0		0	0		0								0	0	0										0									
10406	0	7266	3		0		0	0		0								0	0	0										0									
10406	0	13529	1		0		0	0		0								0	0	0										0									
10406	0	256	1		0		0	0		0								0	0	0										0									
10406	0	256	1		0		0	0		0								0	0	0										0									
10406	0	63	1		0		0	0		0								0	0	0										0									
10406	0	272	1		0		0	0		0								0	0	0										0									
10406	0	272	1		0		0	0		0								0	0	0										0									
10406	0	256	1		0		0	0		0								0	0	0										0									
10406	0	256	1		0		0	0		0								0	0	0										0									
10406	0	18	1		0		0	0		0								0	0	0										0									
10406	0	13550	1		0		0	0		0								0	0	0										0									
10407	0	71	1		0		0	0		0								0	0	0										0									
10407	0	262	1		0		0	0		0								0	0	0										0									
10407	0	272	1		0		0	0		0								0	0	0										0									
10424	0	262	1		0		0	0		0								0	0	0										0									
10427	0	54	1		0		0	0		0								0	0	0										0									
10427	0	262	1		0		0	0		0								0	0	0										0									
10427	0	272	1		0		0	0		0								0	0	0										0									
10435	0	8	1		0		0	0		0								0	0	0										0									
10435	0	273	1		0		0	0		0								0	0	0										0									
10435	0	261	1		0		0	0		0								0	0	0										0									
10435	0	272	1		0		0	0		0								0	0	0										0									
10435	0	61	1		0		0	0		0								0	0	0										0									
10435	0	59	1		0		0	0		0								0	0	0										0									
10435	0	280	1		0		0	0		0								0	0	0										0									
10435	0	256	1		0		0	0		0								0	0	0										0									
10435	0	262	1		0		0	0		0								0	0	0										0									
10436	0	17	1		0		0	0		0								0	0	0										0									
10436	0	6368	1		0		0	0		0								0	0	0										0									
10436	0	99	1		0		0	0		0								0	0	0										0									
10436	0	6368	1		0		0	0		0								0	0	0										0									
10436	0	56	1		0		0	0		0								0	0	0										0									
10436	0	256	1		0		0	0		0								0	0	0										0									
10440	0	56	1		0		0	0		0								0	0	0										0									
10440	0	54	1		0		0	0		0								0	0	0										0									
10443	0	13559	1		0		0	0		0								0	0	0										0									
10443	0	256	1		0		0	0		0								0	0	0										0									
10443	0	272	1		0		0	0		0								0	0	0										0									
10463	0	272	1		0		0	0		0								0	0	0										0									
10463	0	61	1		0		0	0		0								0	0	0										0									
10463	0	262	1		0		0	0		0								0	0	0										0									
10465	0	811	1		0		0	0		0								0	0	0										0									
10466	0	13071	1		0		0	0		0								0	0	0										0									
10469	0	6007	1		0		0	0		0								0	0	0										0									
10469	0	30920	1		0		0	0		0								0	0	0										0									
10469	0	99	1		0		0	0		0								0	0	0										0									
10469	0	30920	1		0		0	0		0								0	0	0										0									
10469	0	6010	1		0		0	0		0								0	0	0										0									
10469	0	30920	1		0		0	0		0								0	0	0										0									
10473	0	9	1		0		0	0		0								0	0	0										0									
10477	0	54	1		0		0	0		0								0	0	0										0									
10477	0	256	1		0		0	0		0								0	0	0										0									
10479	0	22	1		0		0	0		0								0	0	0										0									
10510	0	10	1		0		0	0		0								0	0	0										0									
10510	0	64	1		0		0	0		0								0	0	0										0									
10510	0	262	1		0		0	0		0								0	0	0										0									
10510	0	272	2		0		0	0		0								0	0	0										0									
10510	0	54	1		0		0	0		0								0	0	0										0									
10510	0	272	1		0		0	0		0								0	0	0										0									
10689	0	13197	1		0		0	0		0								0	0	0										0									
